fold,epoch,train_loss,test_loss
0,1,0.2688248238001747,0.2436462132757261
0,2,0.23833803575614404,0.22872214255571685
0,3,0.22190280584083205,0.20910772819251588
0,4,0.21419127713674788,0.20049386545366835
0,5,0.21028507509450803,0.20360170988674406
0,6,0.2041388327020338,0.19654695390859486
0,7,0.2004683262657845,0.22352543348103512
0,8,0.19760617836453448,0.20938138187497501
0,9,0.19688669806239248,0.18487406601946507
0,10,0.19088565481120143,0.184222497700929
0,11,0.190567073979597,0.21612976925135052
0,12,0.18607777870934586,0.18916982826352305
0,13,0.18256076228344578,0.1741467144110742
0,14,0.18281387803198276,0.16935689126378214
0,15,0.1804940597764377,0.17590819722786546
0,16,0.17554423178749523,0.1599823662315283
0,17,0.1824002349856256,0.16078700127154308
0,18,0.17194154507469858,0.15486917759866425
0,19,0.17183389120745932,0.1638381446980042
0,20,0.16838264259798774,0.15787849905825102
0,21,0.16885216791054297,0.15960661872038898
0,22,0.1630551129065711,0.19622943588759384
0,23,0.1636332538107346,0.16780041161382686
0,24,0.1564854119700947,0.15422098432186213
0,25,0.15927885378571763,0.1429736456970722
0,26,0.15653007991355042,0.13951423253159248
0,27,0.15331129721183887,0.1359362122008122
0,28,0.1515799068000125,0.1409060976777525
0,29,0.15149125439682226,0.15496437738035798
0,30,0.14737128466367722,0.17255076686975498
0,31,0.1499354861591054,0.13202366481024005
0,32,0.14549425458428503,0.13731329665082487
0,33,0.14175497063960152,0.1270992946012271
0,34,0.14415602377433887,0.1348057044238733
0,35,0.13756431382277917,0.12795435403633978
0,36,0.13941762784774275,0.1381485531502296
0,37,0.13434987532338877,0.12431336007944377
0,38,0.13401032333401428,0.13407089656186055
0,39,0.13589907608840657,0.15104988282405032
0,40,0.13756358289513096,0.12504123582706786
0,41,0.1341288305562118,0.12596873942208292
0,42,0.13235038364755697,0.11249513839613708
0,43,0.13163928473475336,0.11902792689776485
0,44,0.13438159895354304,0.1254843040536159
0,45,0.12570496520091748,0.11902065111164502
0,46,0.12855492069803434,0.12895274863386172
0,47,0.12880319785112623,0.12449534806984835
0,48,0.12585670706526986,0.10824288584073372
0,49,0.12715093962762547,0.11591500399837468
0,50,0.12496342210248969,0.1190316366866251
0,51,0.12615365303795914,0.12078624603876147
0,52,0.12730137489992996,0.18937973132804045
0,53,0.1258783951059155,0.11504395812997806
0,54,0.12538107604473486,0.11048782083777844
0,55,0.11835553608406549,0.10169353884348768
0,56,0.12480833655458758,0.11050619791289878
0,57,0.12487402686785007,0.10663517809266695
0,58,0.12122106971754425,0.11810774692663066
0,59,0.11998478194762921,0.10594925365420294
0,60,0.125739935785532,0.1227940399885738
0,61,0.11683536783374589,0.14535738688996097
0,62,0.12081682921826155,0.11014652387351452
0,63,0.12267064238930571,0.10527681289196501
0,64,0.11703848068056436,0.1042968175272011
0,65,0.11559239218289825,0.1264769745777149
0,66,0.11781120017684739,0.1021118544564826
0,67,0.11760321970301113,0.10251933112726697
0,68,0.11477849966493146,0.11064090506274275
0,69,0.11433455082534373,0.12689515722959532
0,70,0.11159708423689864,0.10355676786395852
0,71,0.11207670975348046,0.12665837116566758
0,72,0.11636420553443076,0.10335968174317857
0,73,0.1156007098569267,0.10172416781473129
0,74,0.11224564995573855,0.10245942938299808
0,75,0.11076448883475928,0.11969254365891385
0,76,0.11723588441295185,0.09637150351745
0,77,0.1133760396262695,0.10065005240974383
0,78,0.11235490201533525,0.10513907858434267
0,79,0.1095050307868541,0.09955571251878913
0,80,0.10958875553018746,0.09865172112296065
0,81,0.10814238279715352,0.0979040339411
0,82,0.10832245870568287,0.09601005633675552
0,83,0.10854062360936198,0.10312218712384491
0,84,0.10807041918066726,0.09514315922013968
0,85,0.10864159173664005,0.11185327187045215
0,86,0.10944242745466616,0.11968901168564032
0,87,0.10910389007165514,0.1398444148247514
0,88,0.10831881999626927,0.09365590376122124
0,89,0.10638642794955736,0.09770384327625256
0,90,0.10426374499140115,0.09590741467141407
0,91,0.10665764839484773,0.09640985411052565
0,92,0.10829322237050397,0.13668626462018185
0,93,0.10975876000934634,0.09785372067948246
0,94,0.10533541047025001,0.0960897572554167
0,95,0.10913599432371128,0.09908527276873216
0,96,0.10326728027784961,0.10743122486637163
